region,vehicle_type,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050
South Atlantic,Cars,0.41399429641637814,0.422122188178133,0.4044254387961318,0.39022896910983407,0.38341695848168816,0.38286112355923946,0.3860639050086003,0.3861166743001809,0.3781209747334196,0.36699542521219214,0.37291299584986387,0.37526343762745407,0.37762692912875384,0.37779442639326505,0.3760332301005617,0.3770652661324795,0.377558717037936,0.37306782932890764,0.3728153095973203,0.3723819286738897,0.3625707574678443,0.3653724043988997,0.3625454913234354,0.365259756236057,0.36509360692719284,0.3650038647870124,0.36590290559030136
South Atlantic,Pick Up Trucks,0.5860056655759478,0.5778778489951176,0.5955745255314162,0.6097710308901659,0.6165830415183119,0.6171388764407606,0.6139361328923881,0.6138833256998192,0.6218789857450628,0.6330045747878078,0.6270869650156288,0.6247365623725459,0.622373031726156,0.6222055736067349,0.6239667698994383,0.6229346953303245,0.622441282962064,0.6269321706710924,0.6271846518192474,0.6276181100532576,0.6374292813076202,0.6346275956011003,0.6374544697168393,0.6347402047107243,0.6349063539109889,0.6349960957924753,0.6340970547232153
Middle Atlantic,Cars,0.3703791731975895,0.40377409866871694,0.40229144152043544,0.3986507915696641,0.3916002292277798,0.3853294322594448,0.39047164536290896,0.3894957466560376,0.38372613513844545,0.37052611445824274,0.3778835773351691,0.38012251395754104,0.3821755901238583,0.38265863338155176,0.3809873302643962,0.38206668704655233,0.3825051999292749,0.37982167279217827,0.3786997989588686,0.37828193634805773,0.3687223132331892,0.37088749985150815,0.36864010067987435,0.3710669349481768,0.3711085276612561,0.3706091486140461,0.37149468521689777
Middle Atlantic,Pick Up Trucks,0.6296208268024107,0.5962258690918301,0.5977085584795645,0.6013491773613397,0.6083997707722204,0.6146705677405552,0.6095283546370913,0.6105042874991379,0.6162738648615543,0.629473885541757,0.6221164226648307,0.619877521350296,0.6178244098761414,0.6173413666184483,0.6190126697356041,0.6179333129534477,0.6174948362139744,0.620178327207822,0.6213002010411319,0.6217180636519419,0.6312776490168477,0.6291125001484918,0.6313598993201254,0.6289330650518236,0.6288914723387442,0.629390851385954,0.6285053147831019
