region,metric,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050
SERC Southeastern (Table 54.15),Electricity Sales (B kWh),226.9930114746094,228.8928375244141,231.2931671142578,233.9432067871094,235.9411773681641,238.384521484375,240.7867431640625,243.4862365722656,246.8227386474609,250.2627258300781,254.1861114501953,258.3345947265625,262.7197265625,267.3739318847656,271.9941101074219,276.6430358886719,280.9489135742188,284.8858947753906,288.5538330078125,291.9075622558594,294.8564147949219,297.6810302734375,300.2604064941406,303.1026916503906,306.431396484375,309.9778747558594,313.8023071289062
SERC Southeastern (Table 54.15),Carbon Dioxide (M short tons),104.3969421386719,98.98600769042969,96.04962921142578,94.9415054321289,90.97389221191406,85.78291320800781,77.84305572509766,73.47241973876953,54.70432662963867,48.88528823852539,47.99186325073242,46.3990592956543,44.32495498657227,41.72599792480469,39.54959487915039,37.72912216186523,36.98319244384766,38.0621337890625,36.48505020141602,33.48954391479492,33.2482795715332,32.95154190063477,32.14219284057617,30.09636497497559,29.67028045654297,30.57332801818848,30.89726448059082
SERC Southeastern (Table 54.15),Carbon Intensities (MT CO2/MWh),0.4172257962429151,0.39231730602782355,0.37672873765926296,0.36816418304389814,0.3497912120591172,0.3264514475773435,0.2932804837177285,0.2737447423683569,0.20106309826012975,0.17720577470564994,0.17128197215309435,0.16293803256076295,0.1530563951768104,0.14157400895659542,0.131910206497751,0.1237236772596207,0.11941885451822122,0.12120430486266892,0.11470542575005566,0.10407819400620341,0.10229501204537068,0.10042005199884167,0.09711208864511782,0.09007828571616726,0.08783836671038181,0.08947627181464196,0.0893222715099752
SERC East (54.14),Electricity Sales (B kWh),214.4825592041016,216.8874969482422,218.05419921875,220.548583984375,222.4206085205078,225.1561889648438,227.83935546875,230.7323913574219,234.2969818115234,237.8954925537109,241.7878265380859,248.6247406005859,255.2030029296875,259.9609680175781,264.6840209960938,269.4258117675781,273.857177734375,277.8865356445312,281.6018371582031,285.0748291015625,288.2113342285156,289.4316101074219,290.2342529296875,293.3208923339844,296.7647705078125,300.3883666992188,304.3186950683594
SERC East (54.14),Carbon Dioxide (M short tons),65.02477264404297,73.6218490600586,68.51128387451172,63.87781524658203,60.77614212036133,58.24638748168945,56.89455795288086,49.88685989379883,28.63726425170898,22.79303741455078,20.69765472412109,18.92852401733398,20.04278564453125,14.8009033203125,16.05604553222656,13.56707191467285,11.13151741027832,12.03197193145752,12.08512592315674,11.61753940582275,10.02541828155518,9.035759925842285,8.271085739135742,10.09289646148682,10.36498641967773,8.985946655273438,11.4896183013916
SERC East (54.14),Carbon Intensities (MT CO2/MWh),0.30317044371969376,0.3394471792794383,0.31419382942394897,0.2896314911326183,0.27324869995020085,0.2586932553330085,0.2497134783226,0.21621090823143385,0.12222634722092061,0.09581113609962441,0.08560255088301907,0.0761329060479244,0.07853663716509385,0.05693509850029366,0.06066118185677523,0.05035550167100014,0.04064716324899551,0.043298146502674245,0.04291565014317485,0.04075259623038769,0.034784954965047535,0.03121898096233747,0.028497965542128845,0.034409060947471586,0.03492660669236973,0.029914429623272114,0.037755216776316276
PJM West (54.11),Electricity Sales (B kWh),296.1001586914062,301.3218383789062,303.8313598632812,307.0527038574219,309.3340148925781,312.1865539550781,315.1995849609375,318.5268859863281,323.3508911132812,328.3095703125,334.4170227050781,340.8577575683594,347.5191955566406,353.7073669433594,359.7963256835938,366.0464477539062,371.994873046875,377.3233337402344,382.2773742675781,386.8876647949219,391.0608825683594,394.9443664550781,398.6016845703125,402.6387939453125,406.7546997070312,410.8857727050781,415.2003784179688
PJM West (54.11),Carbon Dioxide (M short tons),166.9868011474609,167.3406372070312,145.0008697509766,129.9110870361328,123.7475051879883,127.0542831420898,129.1122894287109,126.4639053344727,108.0715408325195,104.4884185791016,97.00253295898438,88.84719848632812,79.54080200195312,72.47467803955078,61.35464859008789,58.60047912597656,62.1169548034668,65.58915710449219,68.77387237548828,72.69872283935547,74.58749389648438,73.57605743408203,76.41683959960938,63.73756408691406,61.14414215087891,60.06893539428711,60.70773696899414
PJM West (54.11),Carbon Intensities (MT CO2/MWh),0.5639537712017695,0.5553551581502157,0.47724128877356325,0.4230905163970035,0.40004493275969627,0.4069819200489083,0.40962074694581757,0.39702741243607553,0.33422372970872144,0.31826187241402915,0.29006457917224737,0.2606576981558348,0.22888175104845143,0.20490010899647576,0.1705260565780302,0.1600902822184298,0.1669833626863977,0.1738274610645908,0.17990568368649895,0.1879065409797725,0.190731155227335,0.18629473840703775,0.19171228461311132,0.15829961008568655,0.15032190702386117,0.14619375842298352,0.14621310606774454
SERC Central (54.16),Electricity Sales (B kWh),186.2879180908203,186.284912109375,189.9901123046875,192.3746490478516,194.2403564453125,195.544921875,196.7779083251953,198.3826446533203,200.3226470947266,202.4505462646484,205.2509002685547,208.0915222167969,210.7378387451172,213.8565673828125,217.0115661621094,220.2565460205078,223.1793060302734,225.9267883300781,228.5530090332031,230.7907409667969,232.6291961669922,234.3908386230469,235.8819732666016,237.5060882568359,239.7419891357422,242.2131652832031,244.7978515625
