region,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050
SRSE,0.4172257962429151,0.39231730602782355,0.37672873765926296,0.36816418304389814,0.3497912120591172,0.3264514475773435,0.2932804837177285,0.2737447423683569,0.20106309826012975,0.17720577470564994,0.17128197215309435,0.16293803256076295,0.1530563951768104,0.14157400895659542,0.131910206497751,0.1237236772596207,0.11941885451822122,0.12120430486266892,0.11470542575005566,0.10407819400620341,0.10229501204537068,0.10042005199884167,0.09711208864511782,0.09007828571616726,0.08783836671038181,0.08947627181464196,0.0893222715099752
SRCA,0.30317044371969376,0.3394471792794383,0.31419382942394897,0.2896314911326183,0.27324869995020085,0.2586932553330085,0.2497134783226,0.21621090823143385,0.12222634722092061,0.09581113609962441,0.08560255088301907,0.0761329060479244,0.07853663716509385,0.05693509850029366,0.06066118185677523,0.05035550167100014,0.04064716324899551,0.043298146502674245,0.04291565014317485,0.04075259623038769,0.034784954965047535,0.03121898096233747,0.028497965542128845,0.034409060947471586,0.03492660669236973,0.029914429623272114,0.037755216776316276
PJMW,0.5639537712017695,0.5553551581502157,0.47724128877356325,0.4230905163970035,0.40004493275969627,0.4069819200489083,0.40962074694581757,0.39702741243607553,0.33422372970872144,0.31826187241402915,0.29006457917224737,0.2606576981558348,0.22888175104845143,0.20490010899647576,0.1705260565780302,0.1600902822184298,0.1669833626863977,0.1738274610645908,0.17990568368649895,0.1879065409797725,0.190731155227335,0.18629473840703775,0.19171228461311132,0.15829961008568655,0.15032190702386117,0.14619375842298352,0.14621310606774454
SRCE,0.45337298036255697,0.45830204331979507,0.4398691707589121,0.3690312842431051,0.3535691156517307,0.3198357626299703,0.3206566288542751,0.3043724600911992,0.1434545443466027,0.1343290624164566,0.11171144652462808,0.10438367269451272,0.09378499722864124,0.07847700806204418,0.07183798226981021,0.05038037419881613,0.05106629051038889,0.05262356228798776,0.05304560885805941,0.051290798733125885,0.05130253840012849,0.050283019611044526,0.05100697429761671,0.04979387028717077,0.051452144260871066,0.0523761712940955,0.05527826123326009
MISS,0.4544715335747991,0.4114936421469529,0.40371348581955874,0.3966308028917052,0.38561666937020583,0.35921936416241274,0.3328344028744189,0.2975933190964729,0.29256566060445466,0.2765910258440939,0.24889763921891386,0.2355177599204701,0.2248773444259805,0.18442950490611082,0.14980796221309295,0.1287434001555312,0.12788325572139517,0.13399310392390892,0.12926366904353284,0.1138872377642951,0.11138183478708891,0.09513243261245277,0.08634301304469447,0.08548784713762225,0.07662796912308553,0.07749515825424272,0.07015858116907318
PJME,0.37253344054920184,0.37542713687318685,0.38704017507268507,0.3866738537760449,0.36236777478259447,0.3443881276395262,0.3241071538283666,0.30602447334386473,0.2791445776568296,0.2644974322196968,0.24285618320020513,0.23847527712167124,0.22554120707242983,0.18907154975459964,0.1550873835969566,0.13851356349014035,0.13661794963807175,0.1389357155254708,0.1319789468871941,0.1417843310129836,0.1497472920241972,0.16469641984102723,0.15739859712466156,0.17772937595861366,0.1785514877727436,0.16768327136623298,0.16448540874008719
NYUP,0.14968389341262686,0.06137349318420034,0.06365607938117478,0.06676068192644344,0.06308524409955366,0.05970277431410873,0.06228714123527068,0.05410233184231057,0.053185993966953074,0.052603102249748776,0.051277606995186374,0.05203818375010187,0.04999499582802839,0.04892183602132769,0.04943931096094687,0.04965938202137746,0.04735431479155175,0.04676651489961296,0.045280366453274004,0.05201546760585706,0.050768126310097375,0.05070011395013142,0.05050637378324069,0.049800417419420887,0.04924233044717909,0.048080763400658894,0.048494101159832846
MISE,0.5501815589443463,0.5394649440231817,0.45468999608587535,0.43004805851275146,0.42257164744952563,0.3062756139325713,0.23958490875664704,0.16684671035510437,0.16120747502249821,0.1520508318547279,0.14827038647819066,0.14235973957677261,0.12543827976791927,0.11017579810513624,0.10002471784593162,0.0922013616809746,0.07938040385087024,0.07722903064390176,0.07689293138200269,0.07766095125347769,0.07764982759228682,0.07738940984079133,0.07723196101709254,0.07770166128348162,0.07712364233081044,0.07748497487440101,0.08102474415008916
MISC,0.557194014304836,0.5978874560997371,0.5309662705710277,0.49104542515968747,0.5085806664086447,0.4910982971632321,0.4709676541832362,0.45132250886809255,0.2214940901903351,0.1951068305006686,0.18076230189014086,0.16509665158075923,0.1361429416002673,0.11127261937680409,0.09041296330272984,0.05021845171428961,0.049791666560051656,0.049844124892590685,0.049029530531659336,0.04855194554015206,0.04782409232961736,0.047525912849936666,0.04696333336104227,0.04680799190220629,0.047466883763704296,0.048131345668669716,0.045798265975599516
PJMD,0.2872008906284934,0.3396779019839529,0.23573119846114954,0.22387311029698678,0.2243130233636106,0.21861263900873404,0.20632672894133064,0.1863276841384072,0.19830215624758818,0.18016335084510252,0.15280651544296078,0.14054810485467284,0.1511548647045341,0.10516171874634488,0.0963868100237241,0.08745182687684463,0.08162828331545323,0.08047649992006763,0.09018816608478812,0.08274304874222349,0.0805162827800915,0.0855198521144893,0.08463737319703024,0.08252888393287244,0.0757149253589986,0.07288157146052916,0.07259062733314661
