state,savings_res,savings_com,savings_total,costs_res,costs_com,costs_total,bcr_res,bcr_com,bcr_total
SC,704.217643358519,581.803106394599,1286.020749753118,822.3565405527405,699.4377125944127,1521.794253147153,0.8563410256154643,0.8318154653636368,0.8450687384931027
Georgia,394.96616609392413,962.930005464937,1357.8961715588612,395.3227221220858,1967.670981077394,2362.9937031994796,0.9990980634094401,0.4893755179220496,0.5746507786797221
NC,718.4347319884739,624.557991731619,1342.992723720093,618.9336472670567,1615.3085479502715,2234.242195217328,1.1607621191072273,0.3866493448104049,0.6010954079172505
AL,162.6567241791419,335.5317814539819,498.1885056331238,167.33640396530322,624.827493670812,792.1638976361153,0.9720342993199994,0.5369990675070319,0.6288957463471395
Florida,636.2776338654825,1223.9830033936394,1860.2606372591217,454.42797052838847,2481.561060347148,2935.9890308755366,1.4001726899108946,0.49323106449067794,0.6336061264862343
VA,382.9743787342628,358.34892448678465,741.3233032210475,139.046936335182,794.1934506121308,933.2403869473128,2.7542813155629498,0.4512111302486622,0.7943540738158171
LA,123.73701332441895,183.79276286519402,307.52977618961296,64.485810222516,414.9372642446469,479.4230744671629,1.918825442332966,0.442941087009312,0.6414580202077373
KY,146.70740637122375,336.8801361923118,483.5875425635355,83.3325666302147,736.3641208639003,819.696687494115,1.7605050738714512,0.45749124196475643,0.5899591274937382
TN,145.7292417681673,0.0,145.7292417681673,65.41180667596326,0.0,65.41180667596326,2.227873669505571,0.0,2.227873669505571
Arkansas,221.13105272282607,243.99596543472992,465.127018157556,197.76120502262557,482.241441141644,680.0026461642695,1.118172053500214,0.5059622517241595,0.684007659060189
MS,225.85283597530312,430.5615401629292,656.4143761382323,267.89838385875527,585.7740275677884,853.6724114265437,0.8430541189616884,0.7350300967604828,0.7689300571882369
