city,year,ng_commercial_mt_co2e
Jackson,2039,140839.69983197562
Jackson,2040,140544.22139019027
Jackson,2041,140312.53612196998
Jackson,2042,140089.40694517296
Jackson,2043,139881.77771555545
Jackson,2044,139759.80727304693
Jackson,2045,139735.4637845949
Jackson,2046,139878.99374077265
Jackson,2047,140066.15201602803
Jackson,2048,140242.8274345342
Jackson,2049,140367.8186084293
Jackson,2050,140557.29633675545
Kansas City,2027,27273.609395670697
Kansas City,2028,27053.169706347446
Kansas City,2029,26852.958485495146
Kansas City,2030,26661.134034406514
Kansas City,2031,26488.30638243061
Kansas City,2032,26298.722534066274
Kansas City,2033,26097.63778117578
Kansas City,2034,25907.572522753162
Kansas City,2035,25734.209398088613
Kansas City,2036,25571.254115050393
Kansas City,2037,25411.16868231858
Kansas City,2038,25271.58393649626
Kansas City,2039,25146.12251765383
Kansas City,2040,25020.39065196842
Kansas City,2041,24907.339047538193
Kansas City,2042,24798.1375105759
Kansas City,2043,24687.684118500292
Kansas City,2044,24587.439983558343
Kansas City,2045,24493.138395676768
Kansas City,2046,24419.276214892656
Kansas City,2047,24343.97447575181
Kansas City,2048,24266.73039268121
Kansas City,2049,24175.55526653131
Kansas City,2050,24094.40054614993
Lansing,2027,319582.5024
Lansing,2028,317965.23360000004
Lansing,2029,316347.9648
Lansing,2030,314730.696
Lansing,2031,313113.42720000003
Lansing,2032,311496.1584
Lansing,2033,309878.8896
Lansing,2034,308261.62080000003
Lansing,2035,306644.352
Lansing,2036,305027.0832
Lansing,2037,303409.81440000003
Lansing,2038,301792.5456
Lansing,2039,300175.2768
Lansing,2040,298558.00800000003
Lansing,2041,296940.7392
Lansing,2042,295323.4704
Lansing,2043,293706.20160000003
Lansing,2044,292088.9328
Lansing,2045,290471.664
Lansing,2046,288854.3952
Lansing,2047,287237.1264
Lansing,2048,285619.8576
Lansing,2049,284002.5888
Lansing,2050,282385.32
Memphis,2027,533206.1033711508
Memphis,2028,530392.1156975437
Memphis,2029,527899.6805351942
Memphis,2030,525653.6663557563
Memphis,2031,523679.05475084635
Memphis,2032,521296.3149607773
Memphis,2033,518681.8873984094
Memphis,2034,516293.0410326333
Memphis,2035,514364.8616366503
Memphis,2036,512494.01873981056
Memphis,2037,510630.5178345657
Memphis,2038,509193.18674816086
Memphis,2039,508038.8769081923
Memphis,2040,506900.9201588313
Memphis,2041,505980.14948703116
Memphis,2042,505106.50117228617
Memphis,2043,504297.33047378017
Memphis,2044,503804.08543578355
Memphis,2045,503671.55012937804
Memphis,2046,504136.36784754397
Memphis,2047,504760.2219479208
Memphis,2048,505348.6794245541
Memphis,2049,505750.7899831156
Memphis,2050,506389.4403444923
Montgomery,2027,104630.0752
Montgomery,2028,104362.65280000001
Montgomery,2029,104095.2304
Montgomery,2030,103827.808
Montgomery,2031,103560.38560000001
Montgomery,2032,103292.96320000001
Montgomery,2033,103025.5408
Montgomery,2034,102758.1184
Montgomery,2035,102490.69600000001
Montgomery,2036,102223.2736
Montgomery,2037,101955.8512
Montgomery,2038,101688.42880000001
Montgomery,2039,101421.00640000001
Montgomery,2040,101153.584
Montgomery,2041,100886.1616
Montgomery,2042,100618.73920000001
Montgomery,2043,100351.3168
Montgomery,2044,100083.8944
Montgomery,2045,99816.47200000001
Montgomery,2046,99549.0496
Montgomery,2047,99281.6272
Montgomery,2048,99014.2048
Montgomery,2049,98746.78240000001
Montgomery,2050,98479.36
Nashville,2027,585476.1185758426
Nashville,2028,582382.1896663435
Nashville,2029,579640.6808326292
Nashville,2030,577174.7404654839
Nashville,2031,575009.0326689553
Nashville,2032,572389.4223965534
Nashville,2033,569517.8153662235
Nashville,2034,566891.4783574787
Nashville,2035,564771.4094408245
Nashville,2036,562718.9600581785
Nashville,2037,560675.022935108
Nashville,2038,559100.5980716826
Nashville,2039,557836.2429316227
Nashville,2040,556588.1818639698
Nashville,2041,555573.3274902992
Nashville,2042,554613.3883126236
Nashville,2043,553725.3443699224
Nashville,2044,553184.9405084023
Nashville,2045,553041.9530091602
Nashville,2046,553551.626646227
Nashville,2047,554235.4840826386
Nashville,2048,554880.2655715306
Nashville,2049,555319.5723290276
Nashville,2050,556019.0152859185
Newport News,2027,57328.146400000005
Newport News,2028,57154.1096
Newport News,2029,56980.0728
Newport News,2030,56806.036
Newport News,2031,56631.999200000006
Newport News,2032,56457.962400000004
Newport News,2033,56283.9256
Newport News,2034,56109.8888
Newport News,2035,55935.852000000006
Newport News,2036,55761.815200000005
Newport News,2037,55587.7784
Newport News,2038,55413.7416
Newport News,2039,55239.7048
Newport News,2040,55065.668000000005
Newport News,2041,54891.6312
Newport News,2042,54717.5944
Newport News,2043,54543.5576
Newport News,2044,54369.520800000006
Newport News,2045,54195.484000000004
Newport News,2046,54021.4472
Newport News,2047,53847.4104
Newport News,2048,53673.373600000006
Newport News,2049,53499.336800000005
Newport News,2050,53325.3
Oakland,2027,290617.24204446987
Oakland,2028,291939.5090381919
Oakland,2029,286122.3515854922
Oakland,2030,282542.51126368425
Oakland,2031,280648.6563658336
Oakland,2032,280660.11512423836
Oakland,2033,281002.63731372205
Oakland,2034,281693.658324662
Oakland,2035,282581.3610520282
Oakland,2036,283767.7622078935
Oakland,2037,285113.41115380527
