city,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050
Montgomery,1987040,1982000,1976960,1971920,1966880,1961840,1956800,1951760,1946720,1941680,1936640,1931600,1926560,1921520,1916480,1911440,1906400,1901360,1896320,1891280,1886240,1881200,1876160,1871120,1866080,1861040,1856000
Nashville,11311882.8473928,11192505.8357706,11099893.1553448,11034227.6399518,10975917.6341188,10924249.5445275,10877774.9805029,10836958.7762713,10787588.0587364,10733468.0619341,10683970.5683656,10644014.5013348,10605332.8318541,10566811.5894291,10537139.0514829,10513310.2701022,10489788.5764035,10470662.0333641,10452570.4544407,10435833.8554452,10425649.0860988,10422954.2595017,10432559.8689451,10445448.2488247,10457600.1803907,10465879.614192,10479061.7279668
Newport News,1090280,1087000,1083720,1080440,1077160,1073880,1070600,1067320,1064040,1060760,1057480,1054200,1050920,1047640,1044360,1041080,1037800,1034520,1031240,1027960,1024680,1021400,1018120,1014840,1011560,1008280,1005000
Oakland,5474181.45598938,5460322.57600982,5460882.64090456,5477143.64953769,5502063.87180912,5392430.29750268,5324962.51910449,5289269.81465951,5289485.77316695,5295941.14801587,5308964.53683871,5325694.70508911,5348054.31978691,5373415.21209584,5401972.98711993,5432296.33293627,5461538.3304316,5493426.02533003,5527387.85876988,5560462.1058119,5592817.91846136,5626770.70799637,5664660.01614692,5698857.84406601,5727978.29332958,5752506.99115381,5773114.43038701
Philadelphia,33938458.3023521,33664531.0434797,33552297.6786971,33545010.8545108,33583662.9255956,33643697.1958145,33724668.668405,33838583.8792543,33956097.561286,34075442.0363817,34227130.8064532,34406999.9803996,34611785.5345162,34824418.7345703,35067624.9416892,35327443.0370683,35584238.5664407,35857238.0612184,36140038.9016719,36440191.3275015,36756916.3971143,37068976.213322,37390412.1300718,37719006.0964721,38039115.4981204,38334755.0350411,38624338.2163787
Pittsbugh,9923160,9982000,10040840,10099680,10158520,10217360,10276200,10335040,10393880,10452720,10511560,10570400,10629240,10688080,10746920,10805760,10864600,10923440,10982280,11041120,11099960,11158800,11217640,11276480,11335320,11394160,11453000
Raleigh,3280604.84138235,3238206.43518777,3206197.4020245,3184213.13407949,3164864.39035378,3147910.69909749,3131152.12362984,3116823.33224979,3101213.82458037,3084445.81507629,3069452.42193926,3055875.59172945,3042824.20692952,3030014.61778262,3019220.97616966,3010121.42186652,3000630.02997392,2993956.56703443,2987757.2789644,2982534.35231762,2979158.23277831,2977811.81060231,2980546.75472298,2983581.4625671,2986341.9727144,2987229.97568529,2989367.54595156
Rochester,6648242.91768797,6594700.07287595,6572899.61180413,6571543.82344761,6579073.96498617,6590783.27622885,6606634.36255752,6628944.05380119,6651908.1235988,6675245.43095935,6704904.60831263,6740111.29620246,6780224.35120543,6821926.06329881,6869607.65758774,6920591.92789282,6970906.04160691,7024349.94496259,7079732.38923968,7138539.03709039,7200596.41229545,7261770.50104598,7324728.8377196,7389070.0615021,7451773.94484818,7509634.00483799,7566318.80905542
Savannah,2097323.28338636,2071865.77020491,2052792.71823472,2038937.45410902,2026767.13956051,2016041.49073158,2005617.0611725,1997139.53072358,1987037.56497321,1976779.238873,1967337.54575862,1958526.71333628,1950738.34627902,1942998.80457506,1936949.47382888,1931579.42948206,1926120.4766585,1921828.27226563,1918306.78364051,1915238.49971884,1913330.32143747,1913017.61438123,1914967.9243086,1917284.06907958,1919162.67244381,1919910.96554732,1921326.06005316
St. Louis,15785648.0725132,15592868.0642939,15423774.9279452,15284789.4875512,15161435.3337509,15049383.1253333,14942237.9004157,14846001.2874122,14738756.2843409,14626361.9491286,14519661.2008629,14421764.763328,14331036.0119634,14241199.0026386,14163735.1902359,14093230.3870643,14023217.3087733,13959450.7833442,13898498.5575086,13836526.5710858,13780371.9992454,13727756.8469051,13686282.8191162,13644176.7302425,13600750.2176961,13549616.2276101,13503985.4704424
