city,year,ng_residential_mmbtu
Cleveland,2030,14034000.0
Cleveland,2031,13928000.0
Cleveland,2032,13822000.0
Cleveland,2033,13716000.0
Cleveland,2034,13610000.0
Cleveland,2035,13504000.0
Cleveland,2036,13398000.0
Cleveland,2037,13292000.0
Cleveland,2038,13186000.0
Cleveland,2039,13080000.0
Cleveland,2040,12974000.0
Cleveland,2041,12868000.0
Cleveland,2042,12762000.0
Cleveland,2043,12656000.0
Cleveland,2044,12550000.0
Cleveland,2045,12444000.0
Cleveland,2046,12338000.0
Cleveland,2047,12232000.0
Cleveland,2048,12126000.0
Cleveland,2049,12020000.0
Cleveland,2050,11914000.0
Columbus,2027,15497621.0735913
Columbus,2028,15355989.9100461
Columbus,2029,15231473.0520797
Columbus,2030,15082213.3886744
Columbus,2031,14955212.8677576
Columbus,2032,14823995.7068647
Columbus,2033,14703609.9203502
Columbus,2034,14559915.5746701
Columbus,2035,14434375.3213124
Columbus,2036,14338726.9802513
Columbus,2037,14228311.2679949
Columbus,2038,14093322.4204576
Columbus,2039,14002725.5041108
Columbus,2040,13918598.5300053
Columbus,2041,13813722.2487831
Columbus,2042,13710964.7362364
Columbus,2043,13630336.8502299
Columbus,2044,13531463.5284454
Columbus,2045,13432609.9261297
Columbus,2046,13347736.291616
Columbus,2047,13267414.7738486
Columbus,2048,13159416.0369161
Columbus,2049,13048452.2375394
Columbus,2050,12959501.8650454
Dayton,2027,3630894.22480517
Dayton,2028,3595200.07110533
Dayton,2029,3558573.37262538
Dayton,2030,3531871.77883794
Dayton,2031,3503781.67579662
Dayton,2032,3466622.0974
Dayton,2033,3442999.81916064
Dayton,2034,3410662.50196546
Dayton,2035,3381869.06597024
Dayton,2036,3355776.71730002
Dayton,2037,3329282.78577619
Dayton,2038,3307743.4986894
Dayton,2039,3283540.37567461
Dayton,2040,3255636.11780665
Dayton,2041,3239886.0028987
Dayton,2042,3216036.77530985
Dayton,2043,3194023.67338246
Dayton,2044,3173453.02251617
Dayton,2045,3146049.16850801
Dayton,2046,3127769.36000247
Dayton,2047,3110903.79214855
Dayton,2048,3080488.73347089
Dayton,2049,3061698.22808047
Dayton,2050,3039926.50002856
Hampton,2027,1969908.73092191
Hampton,2028,1961397.37851531
Hampton,2029,1957579.86135779
Hampton,2030,1951320.00897445
Hampton,2031,1951161.25354937
Hampton,2032,1943030.99627717
Hampton,2033,1941036.60324128
Hampton,2034,1937333.43839891
Hampton,2035,1934253.26488825
Hampton,2036,1931743.67678397
Hampton,2037,1928386.03931224
Hampton,2038,1926844.98656515
Hampton,2039,1925176.18200867
Hampton,2040,1921641.40435071
Hampton,2041,1922128.02221486
Hampton,2042,1918676.86823093
Hampton,2043,1918483.91950485
Hampton,2044,1917002.03059334
Hampton,2045,1915822.53576251
Hampton,2046,1915646.5311178
Hampton,2047,1913465.80146679
Hampton,2048,1911654.30687951
Hampton,2049,1907998.66141023
Hampton,2050,1904386.73266112
Jackson,2027,1712984.1101385
Jackson,2028,1699318.90805818
Jackson,2029,1682751.78566077
Jackson,2030,1667715.95081778
Jackson,2031,1655986.21162049
Jackson,2032,1639705.01007337
Jackson,2033,1625322.013693
Jackson,2034,1612825.19527491
Jackson,2035,1597988.93617683
Jackson,2036,1586748.06061053
Jackson,2037,1573768.6577729
Jackson,2038,1561008.4978023
Jackson,2039,1551016.35874561
Jackson,2040,1538715.24366814
Jackson,2041,1527895.95549
Jackson,2042,1517859.97636615
Jackson,2043,1505576.11348103
Jackson,2044,1495799.01182438
Jackson,2045,1485033.79152741
Jackson,2046,1473988.68527979
Jackson,2047,1464888.56881957
Jackson,2048,1454051.57251475
Jackson,2049,1443658.08240219
Jackson,2050,1434270.99711867
Kansas City,2027,9014893.9855832
Kansas City,2028,8914507.61411029
Kansas City,2029,8824657.35803896
Kansas City,2030,8742982.3320386
Kansas City,2031,8667839.54569773
Kansas City,2032,8574328.25561858
Kansas City,2033,8480879.19850478
Kansas City,2034,8401144.69640261
Kansas City,2035,8323318.56197379
Kansas City,2036,8243341.8292772
Kansas City,2037,8170472.40947413
Kansas City,2038,8105438.31458691
Kansas City,2039,8039987.81507749
Kansas City,2040,7976510.5622312
Kansas City,2041,7920360.90855836
Kansas City,2042,7864445.11350154
Kansas City,2043,7807842.73353865
Kansas City,2044,7750547.82609682
Kansas City,2045,7687727.87581823
Kansas City,2046,7630371.85215586
Kansas City,2047,7573149.95919471
Kansas City,2048,7511900.61426843
Kansas City,2049,7445907.55745951
Kansas City,2050,7385315.09984633
Lansing,2027,2758600.0
Lansing,2028,2738400.0
Lansing,2029,2718200.0
Lansing,2030,2698000.0
Lansing,2031,2677800.0
Lansing,2032,2657600.0
Lansing,2033,2637400.0
Lansing,2034,2617200.0
Lansing,2035,2597000.0
Lansing,2036,2576800.0
Lansing,2037,2556600.0
Lansing,2038,2536400.0
Lansing,2039,2516200.0
Lansing,2040,2496000.0
Lansing,2041,2475800.0
Lansing,2042,2455600.0
Lansing,2043,2435400.0
Lansing,2044,2415200.0
Lansing,2045,2395000.0
Lansing,2046,2374800.0
Lansing,2047,2354600.0
Lansing,2048,2334400.0
Lansing,2049,2314200.0
Lansing,2050,2294000.0
Memphis,2027,11058352.7480334
Memphis,2028,10946571.1466244
Memphis,2029,10830272.4051505
Memphis,2030,10745449.1220121
Memphis,2031,10658027.6029365
Memphis,2032,10569315.7310025
Memphis,2033,10467529.6418326
Memphis,2034,10376110.4556427
Memphis,2035,10287377.2918244
Memphis,2036,10212046.7691064
Memphis,2037,10131610.574951
Memphis,2038,10056060.0471556
Memphis,2039,9969732.32027536
Memphis,2040,9898886.33565631
