city,year,ng_residential_mt_co2e
Oakland,2035,265978.59835942724
Oakland,2036,264601.680657186
Oakland,2037,264166.0067835819
Oakland,2038,263529.5369891496
Oakland,2039,263031.89183550153
Oakland,2040,262161.53826673503
Oakland,2041,260668.67800248726
Oakland,2042,259863.7976912236
Oakland,2043,259020.0500469927
Oakland,2044,258272.76292605032
Oakland,2045,257163.9285438749
Oakland,2046,256148.98891587163
Oakland,2047,255526.58068709442
Oakland,2048,254288.33319203233
Oakland,2049,253847.3422086066
Oakland,2050,253227.60967793813
Philadelphia,2027,1845718.6291013176
Philadelphia,2028,1836446.3118792179
Philadelphia,2029,1828427.8755618331
Philadelphia,2030,1820302.3886247692
Philadelphia,2031,1811946.6775789792
Philadelphia,2032,1804093.6660888284
Philadelphia,2033,1794518.1014305146
Philadelphia,2034,1785944.1147785468
Philadelphia,2035,1778096.1497621199
Philadelphia,2036,1770416.9082592018
Philadelphia,2037,1761951.1070686807
Philadelphia,2038,1754194.1760937595
Philadelphia,2039,1747435.7630934822
Philadelphia,2040,1739463.4707413865
Philadelphia,2041,1732273.9613718162
Philadelphia,2042,1726036.4564831844
Philadelphia,2043,1717626.2510764003
Philadelphia,2044,1711002.1664292293
Philadelphia,2045,1704351.5799820474
Philadelphia,2046,1696796.768167607
Philadelphia,2047,1690167.0658911874
Philadelphia,2048,1683339.4770963253
Philadelphia,2049,1675765.7589287462
Philadelphia,2050,1668079.978005638
Pittsburgh,2027,529050.648
Pittsburgh,2028,528753.512
Pittsburgh,2029,528456.376
Pittsburgh,2030,528159.24
Pittsburgh,2031,527862.104
Pittsburgh,2032,527564.968
Pittsburgh,2033,527267.832
Pittsburgh,2034,526970.696
Pittsburgh,2035,526673.56
Pittsburgh,2036,526376.424
Pittsburgh,2037,526079.2880000001
Pittsburgh,2038,525782.152
Pittsburgh,2039,525485.0160000001
Pittsburgh,2040,525187.88
Pittsburgh,2041,524890.7440000001
Pittsburgh,2042,524593.608
Pittsburgh,2043,524296.4720000001
Pittsburgh,2044,523999.336
Pittsburgh,2045,523702.2
Pittsburgh,2046,523405.064
Pittsburgh,2047,523107.928
Pittsburgh,2048,522810.792
Pittsburgh,2049,522513.656
Pittsburgh,2050,522216.52
Raleigh,2027,205203.93520721095
Raleigh,2028,204401.08167701843
Raleigh,2029,203514.7154467436
Raleigh,2030,203301.91006378003
Raleigh,2031,202842.59328337052
Raleigh,2032,202020.46162354172
Raleigh,2033,201444.03595154147
Raleigh,2034,201421.11275193802
Raleigh,2035,201038.09313594823
Raleigh,2036,200582.5650099308
Raleigh,2037,200039.54156007423
Raleigh,2038,199912.01327957693
Raleigh,2039,199470.86073867165
Raleigh,2040,199282.47037829485
Raleigh,2041,199035.1670569477
Raleigh,2042,198935.80087860426
Raleigh,2043,198705.7801005778
Raleigh,2044,198748.00272951557
Raleigh,2045,198759.8880307207
Raleigh,2046,198829.95808110203
Raleigh,2047,198579.53613885984
Raleigh,2048,198283.55667109753
Raleigh,2049,197804.7022404435
Raleigh,2050,197547.27058585177
Rochester,2027,370697.8498241545
Rochester,2028,369138.60577816406
Rochester,2029,367482.5522003117
Rochester,2030,365846.1525479087
Rochester,2031,364266.34219585976
Rochester,2032,362679.7788544109
Rochester,2033,360626.24644937343
Rochester,2034,358057.97270651604
Rochester,2035,357543.813970979
Rochester,2036,355873.2462249896
Rochester,2037,353783.3959460075
Rochester,2038,352198.42699797446
Rochester,2039,350768.450345017
Rochester,2040,349483.0796083699
Rochester,2041,347725.3386281378
Rochester,2042,346304.26155101013
Rochester,2043,344986.3938150903
Rochester,2044,343500.37060971133
Rochester,2045,341752.7538155053
Rochester,2046,340681.5860226146
Rochester,2047,339669.17862288817
Rochester,2048,337476.6853969983
Rochester,2049,336189.5079828304
Rochester,2050,334703.48076433584
Savannah,2027,71352.83498433208
Savannah,2028,71057.70453225411
Savannah,2029,70849.7817095149
Savannah,2030,70563.92958846848
Savannah,2031,70372.26229964262
Savannah,2032,70127.17126019511
Savannah,2033,69817.22627341353
Savannah,2034,69641.57997493324
Savannah,2035,69536.56664871793
Savannah,2036,69295.27211692934
Savannah,2037,68960.24285181527
Savannah,2038,69029.51737872626
Savannah,2039,68712.3038181205
Savannah,2040,68575.99123412764
Savannah,2041,68469.2388810155
Savannah,2042,68301.48095290156
Savannah,2043,68144.43052520376
Savannah,2044,68076.12918316969
Savannah,2045,68035.8309829759
Savannah,2046,67933.752567027
Savannah,2047,67856.41485791442
Savannah,2048,67880.58117439749
Savannah,2049,67691.42592451055
