city,year,ng_commercial_mmbtu
Cleveland,2028,10296920.0
Cleveland,2029,10244560.0
Cleveland,2030,10192200.0
Cleveland,2031,10139840.0
Cleveland,2032,10087480.0
Cleveland,2033,10035120.0
Cleveland,2034,9982760.0
Cleveland,2035,9930400.0
Cleveland,2036,9878040.0
Cleveland,2037,9825680.0
Cleveland,2038,9773320.0
Cleveland,2039,9720960.0
Cleveland,2040,9668600.0
Cleveland,2041,9616240.0
Cleveland,2042,9563880.0
Cleveland,2043,9511520.0
Cleveland,2044,9459160.0
Cleveland,2045,9406800.0
Cleveland,2046,9354440.0
Cleveland,2047,9302080.0
Cleveland,2048,9249720.0
Cleveland,2049,9197360.0
Cleveland,2050,9145000.0
Columbus,2027,19106186.3670584
Columbus,2028,18955889.6509934
Columbus,2029,18818754.5658254
Columbus,2030,18689727.5152134
Columbus,2031,18577417.6468937
Columbus,2032,18453320.2142081
Columbus,2033,18323383.4599249
Columbus,2034,18204653.6541963
Columbus,2035,18098736.101957
Columbus,2036,17997993.7979435
Columbus,2037,17901141.9862224
Columbus,2038,17816590.9844121
Columbus,2039,17739528.7006248
Columbus,2040,17661976.9745104
Columbus,2041,17591406.6431068
Columbus,2042,17522271.003978
Columbus,2043,17452173.0296875
Columbus,2044,17386093.7035256
Columbus,2045,17322435.4922579
Columbus,2046,17268215.6837166
Columbus,2047,17217654.0569685
Columbus,2048,17164252.60073
Columbus,2049,17103145.0970518
Columbus,2050,17047248.986641
Dayton,2027,3834049.61670681
Dayton,2028,3803699.09178056
Dayton,2029,3775787.80462042
Dayton,2030,3749784.68217444
Dayton,2031,3727230.94535509
Dayton,2032,3701900.81128377
Dayton,2033,3675408.97239254
Dayton,2034,3651080.01585321
Dayton,2035,3629509.09573161
Dayton,2036,3609271.33373915
Dayton,2037,3590161.48873848
Dayton,2038,3573505.50813471
Dayton,2039,3558686.82382863
Dayton,2040,3543374.64202367
Dayton,2041,3528997.40452226
Dayton,2042,3515019.87032161
Dayton,2043,3501075.38578772
Dayton,2044,3487900.47482528
Dayton,2045,3475449.11823413
Dayton,2046,3464478.96600447
Dayton,2047,3454211.98818711
Dayton,2048,3443352.51010846
Dayton,2049,3430814.67092958
Dayton,2050,3419331.28976601
Hampton,2027,622363.634731938
Hampton,2028,618758.718702323
Hampton,2029,615615.321326491
Hampton,2030,612504.446650104
Hampton,2031,609862.388160797
Hampton,2032,606964.238122003
Hampton,2033,603833.111329802
Hampton,2034,601044.954470942
Hampton,2035,598531.723978001
Hampton,2036,596112.194272043
Hampton,2037,593735.122163922
Hampton,2038,591743.077926031
Hampton,2039,590081.776367134
Hampton,2040,588336.541280465
Hampton,2041,587148.893633543
Hampton,2042,586043.809250882
Hampton,2043,585129.379586997
Hampton,2044,584574.565886839
Hampton,2045,584408.937898315
Hampton,2046,585048.63915344
Hampton,2047,585740.943316913
Hampton,2048,586383.186100377
Hampton,2049,586654.042103899
Hampton,2050,587171.946171426
Jackson,2027,2777549.27146487
Jackson,2028,2763987.26280839
Jackson,2029,2751928.6057922
Jackson,2030,2741047.49866537
Jackson,2031,2731482.98246996
Jackson,2032,2719818.04095138
Jackson,2033,2706871.39213274
Jackson,2034,2695079.83408481
Jackson,2035,2685647.77146317
Jackson,2036,2676385.73950322
Jackson,2037,2667112.73441477
Jackson,2038,2660002.7172395
Jackson,2039,2654347.90486196
Jackson,2040,2648779.14417999
Jackson,2041,2644412.66720637
Jackson,2042,2640207.44336926
Jackson,2043,2636294.34066256
Jackson,2044,2633995.61389082
Jackson,2045,2633536.8221748
Jackson,2046,2636241.87223469
Jackson,2047,2639769.16728285
Jackson,2048,2643098.89624075
Jackson,2049,2645454.55349471
Jackson,2050,2649025.56232106
Kansas City,2027,514014.500483805
Kansas City,2028,509859.964311109
Kansas City,2029,506086.66576508
Kansas City,2030,502471.429219874
Kansas City,2031,499214.217535443
Kansas City,2032,495641.208708373
Kansas City,2033,491851.447063245
Kansas City,2034,488269.365298778
Kansas City,2035,485002.061780788
Kansas City,2036,481930.910573886
Kansas City,2037,478913.846255533
Kansas City,2038,476283.149952813
Kansas City,2039,473918.630185711
Kansas City,2040,471549.013418176
Kansas City,2041,469418.376319981
Kansas City,2042,467360.299860081
Kansas City,2043,465278.630201664
Kansas City,2044,463389.370214066
Kansas City,2045,461612.106967146
Kansas City,2046,460220.056820442
Kansas City,2047,458800.875909382
Kansas City,2048,457345.088441033
Kansas City,2049,455626.748332667
Kansas City,2050,454097.258691103
Lansing,2027,6023040.0
Lansing,2028,5992560.0
Lansing,2029,5962080.0
Lansing,2030,5931600.0
Lansing,2031,5901120.0
Lansing,2032,5870640.0
Lansing,2033,5840160.0
Lansing,2034,5809680.0
Lansing,2035,5779200.0
Lansing,2036,5748720.0
Lansing,2037,5718240.0
Lansing,2038,5687760.0
Lansing,2039,5657280.0
Lansing,2040,5626800.0
Lansing,2041,5596320.0
Lansing,2042,5565840.0
Lansing,2043,5535360.0
Lansing,2044,5504880.0
Lansing,2045,5474400.0
Lansing,2046,5443920.0
Lansing,2047,5413440.0
Lansing,2048,5382960.0
Lansing,2049,5352480.0
Lansing,2050,5322000.0
Memphis,2027,10049116.1585215
Memphis,2028,9996082.0900404
Memphis,2029,9949108.18950611
Memphis,2030,9906778.48390042
Memphis,2031,9869563.79100728
Memphis,2032,9824657.27404405
Memphis,2033,9775384.23291386
Memphis,2034,9730362.6278295
Memphis,2035,9694023.02368357
Memphis,2036,9658764.01695836
Memphis,2037,9623643.38172947
Memphis,2038,9596554.59382135
Memphis,2039,9574799.79095726
Memphis,2040,9553353.18806693
Memphis,2041,9535999.8018664
Memphis,2042,9519534.51135104
Memphis,2043,9504284.40395364
Memphis,2044,9494988.41756094
Memphis,2045,9492490.57914395
Memphis,2046,9501250.80753004
Memphis,2047,9513008.32921072
Memphis,2048,9524098.74527995
Memphis,2049,9531677.1576162
Memphis,2050,9543713.53834324
Montgomery,2027,1971920.0
Montgomery,2028,1966880.0
Montgomery,2029,1961840.0
Montgomery,2030,1956800.0
Montgomery,2031,1951760.0
Montgomery,2032,1946720.0
Montgomery,2033,1941680.0
Montgomery,2034,1936640.0
Montgomery,2035,1931600.0
Montgomery,2036,1926560.0
Montgomery,2037,1921520.0
Montgomery,2038,1916480.0
Montgomery,2039,1911440.0
Montgomery,2040,1906400.0
Montgomery,2041,1901360.0
Montgomery,2042,1896320.0
Montgomery,2043,1891280.0
Montgomery,2044,1886240.0
Montgomery,2045,1881200.0
Montgomery,2046,1876160.0
Montgomery,2047,1871120.0
Montgomery,2048,1866080.0
Montgomery,2049,1861040.0
Montgomery,2050,1856000.0
Nashville,2027,11034227.6399518
Nashville,2028,10975917.6341188
Nashville,2029,10924249.5445275
Nashville,2030,10877774.9805029
Nashville,2031,10836958.7762713
Nashville,2032,10787588.0587364
Nashville,2033,10733468.0619341
Nashville,2034,10683970.5683656
Nashville,2035,10644014.5013348
Nashville,2036,10605332.8318541
Nashville,2037,10566811.5894291
Nashville,2038,10537139.0514829
Nashville,2039,10513310.2701022
Nashville,2040,10489788.5764035
Nashville,2041,10470662.0333641
Nashville,2042,10452570.4544407
Nashville,2043,10435833.8554452
Nashville,2044,10425649.0860988
Nashville,2045,10422954.2595017
Nashville,2046,10432559.8689451
Nashville,2047,10445448.2488247
Nashville,2048,10457600.1803907
Nashville,2049,10465879.614192
Nashville,2050,10479061.7279668
Newport News,2027,1080440.0
Newport News,2028,1077160.0
Newport News,2029,1073880.0
Newport News,2030,1070600.0
Newport News,2031,1067320.0
Newport News,2032,1064040.0
Newport News,2033,1060760.0
Newport News,2034,1057480.0
Newport News,2035,1054200.0
Newport News,2036,1050920.0
Newport News,2037,1047640.0
Newport News,2038,1044360.0
Newport News,2039,1041080.0
Newport News,2040,1037800.0
Newport News,2041,1034520.0
Newport News,2042,1031240.0
Newport News,2043,1027960.0
Newport News,2044,1024680.0
Newport News,2045,1021400.0
Newport News,2046,1018120.0
Newport News,2047,1014840.0
Newport News,2048,1011560.0
Newport News,2049,1008280.0
Newport News,2050,1005000.0
Oakland,2027,5477143.64953769
Oakland,2028,5502063.87180912
Oakland,2029,5392430.29750268
Oakland,2030,5324962.51910449
Oakland,2031,5289269.81465951
Oakland,2032,5289485.77316695
Oakland,2033,5295941.14801587
Oakland,2034,5308964.53683871
Oakland,2035,5325694.70508911
Oakland,2036,5348054.31978691
Oakland,2037,5373415.21209584
