city,year,total_emissions_mt_co2e
Buffalo,2028,1227391.3575530427
Buffalo,2029,1216226.5563836251
Buffalo,2030,1218831.4327602498
Buffalo,2031,1196475.9528591295
Buffalo,2032,1191585.499011269
Buffalo,2033,1187844.0738121253
Buffalo,2034,1183582.740282415
Buffalo,2035,1184329.792793105
Buffalo,2036,1178603.7854517172
Buffalo,2037,1176024.7048307795
Buffalo,2038,1176693.2141247697
Buffalo,2039,1177839.4042979414
Buffalo,2040,1173726.1222970358
Buffalo,2041,1172695.7009581772
Buffalo,2042,1170415.3309139935
Buffalo,2043,1188009.0087859891
Buffalo,2044,1186374.6412437323
Buffalo,2045,1188010.264336293
Buffalo,2046,1189730.9703863175
Buffalo,2047,1190172.7391831873
Buffalo,2048,1191044.6949181308
Buffalo,2049,1189870.2825315138
Buffalo,2050,1192508.4897206153
Charlotte,2027,3891723.6798372236
Charlotte,2028,3708197.054061769
Charlotte,2029,3545619.755257379
Charlotte,2030,3435212.5679430477
Charlotte,2031,3083387.7425583377
Charlotte,2032,2126235.4561096746
Charlotte,2033,1852770.9316712436
Charlotte,2034,1745614.3567651445
Charlotte,2035,1647393.4041419758
Charlotte,2036,1667363.5279252052
Charlotte,2037,1449440.8471084565
Charlotte,2038,1484578.9021283016
Charlotte,2039,1381156.0013244469
Charlotte,2040,1282847.068391561
Charlotte,2041,1306861.9064312247
Charlotte,2042,1302023.437692827
Charlotte,2043,1280572.6022177576
Charlotte,2044,1221590.5140786283
Charlotte,2045,1186830.353180369
Charlotte,2046,1160987.1931619719
Charlotte,2047,1220331.420841031
Charlotte,2048,1225705.4204650465
Charlotte,2049,1176570.6949258433
Charlotte,2050,1255101.9658148533
Chattanooga,2027,1456285.5710139247
Chattanooga,2028,1403241.9232126358
Chattanooga,2029,1292007.8639253078
Chattanooga,2030,1291477.4935867896
Chattanooga,2031,1236496.6038456121
Chattanooga,2032,722471.5125545083
Chattanooga,2033,691674.1997053104
Chattanooga,2034,618357.3282837183
Chattanooga,2035,593588.0723315853
Chattanooga,2036,558630.9485390993
Chattanooga,2037,509040.1705758518
Chattanooga,2038,486823.9758447479
Chattanooga,2039,418390.33060505684
Chattanooga,2040,419310.739092064
Chattanooga,2041,422932.085712435
Chattanooga,2042,423007.59412095114
Chattanooga,2043,416336.09651533683
Chattanooga,2044,415147.46914658253
Chattanooga,2045,410780.0050075148
Chattanooga,2046,411788.60145316186
Chattanooga,2047,406843.9444900777
Chattanooga,2048,410705.4630137135
Chattanooga,2049,412301.0783386128
Chattanooga,2050,419909.6228471269
Cincinnati,2027,2470128.6189007554
Cincinnati,2028,2373246.634739914
Cincinnati,2029,2391940.711114036
Cincinnati,2030,2394043.6564210495
Cincinnati,2031,2337801.566768414
Cincinnati,2032,2089943.854470449
Cincinnati,2033,2021628.3085611206
Cincinnati,2034,1907003.3518928834
Cincinnati,2035,1788216.4771294096
Cincinnati,2036,1660901.5609061234
Cincinnati,2037,1563549.4994107198
Cincinnati,2038,1427340.7430663859
Cincinnati,2039,1381823.0323594222
Cincinnati,2040,1401602.9893364077
Cincinnati,2041,1421093.8185817553
Cincinnati,2042,1437612.8429443291
Cincinnati,2043,1461221.921952758
Cincinnati,2044,1465409.7656280077
Cincinnati,2045,1442538.1630858337
Cincinnati,2046,1456322.898102113
Cincinnati,2047,1326142.0671990258
Cincinnati,2048,1290525.1815299497
Cincinnati,2049,1269235.6692820222
Cincinnati,2050,1263282.4230944694
Cleveland,2027,3198599.958670086
Cleveland,2028,3082997.747808126
Cleveland,2029,3101034.946155736
Cleveland,2030,3099881.847841316
Cleveland,2031,3031365.5604154905
Cleveland,2032,2741809.648081239
Cleveland,2033,2659579.6852574106
Cleveland,2034,2524034.2051997767
Cleveland,2035,2383811.90658574
Cleveland,2036,2233892.2787315594
Cleveland,2037,2118596.074883894
Cleveland,2038,1958696.1325745543
Cleveland,2039,1903232.0649175202
Cleveland,2040,1922864.6348193279
Cleveland,2041,1942135.7334350508
Cleveland,2042,1957965.2786585405
Cleveland,2043,1981906.0097252654
Cleveland,2044,1983534.1893717172
Cleveland,2045,1954125.6243601185
Cleveland,2046,1966742.7722218963
Cleveland,2047,1814441.4591553044
Cleveland,2048,1770540.8051639216
Cleveland,2049,1743068.197339431
Cleveland,2050,1733152.4148936993
Columbus,2027,5230096.936657485
Columbus,2028,5015884.834946426
Columbus,2029,5046313.093186551
Columbus,2030,5032841.815258935
Columbus,2031,4904152.600531715
Columbus,2032,4385157.12418548
Columbus,2033,4237626.23146227
Columbus,2034,3994289.6655486827
Columbus,2035,3747462.9703796934
Columbus,2036,3487981.7636041627
Columbus,2037,3288254.711782852
Columbus,2038,3008055.176819282
Columbus,2039,2918092.128108097
Columbus,2040,2961382.95709893
Columbus,2041,3001979.3667663005
