threshold,area_sqft,building_count
full_summary,582767946,23486
barea_gt_5k,550461464,10791
barea_gt_10k,522795576,6901
barea_gt_15k,503045215,5315
barea_gt_20k,486714716,4390
barea_gt_25k,474005410,3828
barea_gt_30k,461796712,3389
barea_gt_35k,450085457,3032
barea_gt_40k,439076522,2741
barea_gt_45k,429370896,2515
barea_gt_50k,419617161,2312
