city,year,electricity_emissions_mt_co2
Cleveland,2050,615761.8748936993
Columbus,2027,3394018.9138566116
Columbus,2028,3195296.5054376703
Columbus,2029,3239608.0157805067
Columbus,2030,3240902.630898648
Columbus,2031,3124911.2254243167
Columbus,2032,2619462.7414133577
Columbus,2033,2485213.9627048727
Columbus,2034,2255801.6222650316
Columbus,2035,2021256.0782610192
Columbus,2036,1772195.3591131466
Columbus,2037,1583465.9221140824
Columbus,2038,1314915.1715568958
Columbus,2039,1233848.1200048258
Columbus,2040,1285717.620829327
Columbus,2041,1335623.2277626223
Columbus,2042,1380367.9337037958
Columbus,2043,1441483.6450139724
Columbus,2044,1462880.2923708167
Columbus,2045,1428820.895890774
Columbus,2046,1471639.1929522334
Columbus,2047,1216776.2167414722
Columbus,2048,1156506.5054452266
Columbus,2049,1126378.55890266
Columbus,2050,1129601.841474434
Dayton,2027,735003.0852123288
Dayton,2028,691636.7288440489
Dayton,2029,700614.298851615
Dayton,2030,701326.5719002525
Dayton,2031,676286.6611437805
Dayton,2032,566313.0885602323
Dayton,2033,537379.371486413
Dayton,2034,487774.7361851622
Dayton,2035,436980.24970353633
Dayton,2036,382863.5020026136
Dayton,2037,342059.889686854
Dayton,2038,284333.9042424464
Dayton,2039,266715.08596342144
Dayton,2040,277605.75443132693
Dayton,2041,288610.29487414815
Dayton,2042,298246.86401963874
Dayton,2043,311331.7608719354
Dayton,2044,315954.8945961431
Dayton,2045,308444.7810561474
Dayton,2046,317708.59790670226
Dayton,2047,262743.30982040346
Dayton,2048,249558.90568228537
Dayton,2049,243188.9374850719
Dayton,2050,243829.27101852477
Hampton,2027,257643.34452013017
Hampton,2028,256923.4814195142
Hampton,2029,249494.94363675383
Hampton,2030,234165.53202930797
Hampton,2031,210692.33428232567
Hampton,2032,222982.0700130941
Hampton,2033,201877.31630892004
Hampton,2034,170653.71039257778
Hampton,2035,156565.695966284
Hampton,2036,167996.92344123294
Hampton,2037,116601.06812774055
Hampton,2038,106729.50664836416
Hampton,2039,96741.40323914708
Hampton,2040,90116.88222916858
Hampton,2041,88792.29275956971
Hampton,2042,99357.31790747309
Hampton,2043,91158.98967263152
Hampton,2044,88681.11766888751
Hampton,2045,94189.20738576478
Hampton,2046,93253.09550271677
Hampton,2047,90918.96908235773
Hampton,2048,83446.32957338181
Hampton,2049,80375.95443345423
Hampton,2050,80121.92014739208
Jackson,2027,1197866.635003472
Jackson,2028,1160591.9160325546
Jackson,2029,1076838.771136494
Jackson,2030,992592.6366598046
Jackson,2031,883811.2039899388
Jackson,2032,865151.4481357019
Jackson,2033,814640.1140501571
Jackson,2034,730716.0658233855
Jackson,2035,689315.5299241906
Jackson,2036,656978.4069674086
Jackson,2037,537989.0105658417
Jackson,2038,436416.5454808114
Jackson,2039,374475.5653530324
Jackson,2040,370570.5334518709
Jackson,2041,387018.3659334039
Jackson,2042,372732.4109371428
Jackson,2043,328139.9401490976
Jackson,2044,320948.9981016576
Jackson,2045,274072.0809481738
Jackson,2046,248649.06209143865
Jackson,2047,246019.3913314684
Jackson,2048,220434.58288953363
Jackson,2049,223085.88029203383
Jackson,2050,202253.52139515444
Kansas City,2027,2979931.548874673
Kansas City,2028,2963029.0927920784
Kansas City,2029,2817078.992703637
Kansas City,2030,1929490.0665703071
Kansas City,2031,1572401.481390057
Kansas City,2032,2076525.9991995264
Kansas City,2033,1900014.45016884
Kansas City,2034,1290822.932622302
Kansas City,2035,1133854.7721463982
Kansas City,2036,1106626.176161996
Kansas City,2037,1078923.6517469722
Kansas City,2038,1013279.3139423818
Kansas City,2039,557733.2261339184
Kansas City,2040,559340.5341090722
Kansas City,2041,538451.8599599932
Kansas City,2042,521470.4000150022
Kansas City,2043,514360.7980597397
Kansas City,2044,510651.2580711786
Kansas City,2045,507854.48139363504
Kansas City,2046,521514.8080388528
Kansas City,2047,519960.0160344742
Kansas City,2048,574062.1975108507
Kansas City,2049,568222.6323437054
Kansas City,2050,566259.501370676
Lansing,2027,484990.9984683406
Lansing,2028,475494.52057610423
Lansing,2029,343861.75727437646
Lansing,2030,268383.014789196
Lansing,2031,186481.23122969305
Lansing,2032,179772.1278460891
Lansing,2033,169177.83755484445
Lansing,2034,164597.92143716902
Lansing,2035,157677.64755523333
Lansing,2036,138619.33420593222
Lansing,2037,121475.42795879902
Lansing,2038,110031.19061923862
Lansing,2039,101192.83847210323
Lansing,2040,86921.54221670292
Lansing,2041,84371.17139784979
Lansing,2042,83810.21948912766
Lansing,2043,84451.62483108178
Lansing,2044,84243.85095142381
Lansing,2045,83766.29721167253
Lansing,2046,83401.2500631379
Lansing,2047,83712.66180037176
Lansing,2048,82895.5757228483
Lansing,2049,83088.68825731768
Lansing,2050,86680.27129176538
Memphis,2027,3971284.692569306
Memphis,2028,3788311.1847550618
Memphis,2029,3411053.0391412633
Memphis,2030,3402470.709014169
Memphis,2031,3214924.1873034155
Memphis,2032,1508944.715771743
Memphis,2033,1406710.8520363988
Memphis,2034,1165640.279656066
Memphis,2035,1085808.1735638937
Memphis,2036,973597.9966492582
Memphis,2037,813460.6987860657
Memphis,2038,743719.1138304916
Memphis,2039,520402.2374423001
Memphis,2040,525570.9367983274
Memphis,2041,539805.2586198401
Memphis,2042,543204.4534798451
Memphis,2043,524821.1262471268
Memphis,2044,524869.303114944
Memphis,2045,514220.06311702775
Memphis,2046,521513.7055364108
Memphis,2047,508645.6496914951
Memphis,2048,525409.5701868723
Memphis,2049,534993.674866985
