state,year,annual_mmbtu_avoided,cumulative_mmbtu_avoided
LA,2031,109257.28879704681,655928.1583592903
LA,2032,110505.96060283139,766434.1189621217
LA,2033,113456.86906641458,879890.9880285362
LA,2034,116157.27935559803,996048.2673841342
LA,2035,119004.49555815863,1115052.762942293
LA,2036,121937.79165845408,1236990.554600747
LA,2037,122859.21990971308,1359849.7745104602
LA,2038,123123.7437347967,1482973.518245257
LA,2039,123249.16052786901,1606222.678773126
LA,2040,122975.20148810571,1729197.880261232
KY,2026,207834.20828536776,207834.20828536776
KY,2027,206315.5951025563,414149.8033879241
KY,2028,205367.84427641018,619517.6476643343
KY,2029,205468.69207858734,824986.3397429216
KY,2030,206147.5169325074,1031133.856675429
KY,2031,207237.31002163427,1238371.1666970633
KY,2032,210142.19699470175,1448513.363691765
KY,2033,214749.54068618157,1663262.9043779464
KY,2034,218609.68960934036,1881872.5939872868
KY,2035,223475.20913438103,2105347.803121668
KY,2036,228783.32021739794,2334131.123339066
KY,2037,230543.04504540365,2564674.1683844696
KY,2038,231407.09020061523,2796081.2585850847
KY,2039,231780.35802007216,3027861.616605157
KY,2040,231104.5383258093,3258966.1549309664
TN,2026,83181.95336331011,83181.95336331011
TN,2027,81722.60878741936,164904.56215072947
TN,2028,79940.16619391128,244844.72834464075
TN,2029,78896.41046493826,323741.138809579
TN,2030,78909.53909648604,402650.6779060651
TN,2031,77771.69879920266,480422.3767052677
TN,2032,76190.58967161863,556612.9663768864
TN,2033,76984.92248477251,633597.8888616589
TN,2034,77516.32434260607,711114.2132042649
TN,2035,77772.02675451853,788886.2399587834
TN,2036,77970.26711238077,866856.5070711642
TN,2037,77596.68755809448,944453.1946292587
TN,2038,77097.15566516329,1021550.350294422
TN,2039,77009.66491707915,1098560.0152115012
TN,2040,76573.71816152873,1175133.7333730299
Arkansas,2026,245460.99921108037,245460.99921108037
Arkansas,2027,243061.98065453244,488522.9798656128
Arkansas,2028,240689.66283804463,729212.6427036575
Arkansas,2029,239849.95500947192,969062.5977131294
Arkansas,2030,241048.8352509432,1210111.4329640726
Arkansas,2031,241194.87619588937,1451306.309159962
Arkansas,2032,242633.41322684535,1693939.7223868074
Arkansas,2033,248654.38251356065,1942594.104900368
Arkansas,2034,254031.42743685428,2196625.5323372222
Arkansas,2035,259447.75197108573,2456073.284308308
Arkansas,2036,264922.9386597145,2720996.2229680223
Arkansas,2037,266503.9598613434,2987500.1828293656
Arkansas,2038,266850.0726975505,3254350.255526916
Arkansas,2039,267295.91322477895,3521646.168751695
Arkansas,2040,267001.500689014,3788647.669440709
MS,2026,211580.0190613976,211580.0190613976
MS,2027,209921.67656921525,421501.69563061284
MS,2028,208771.7062482881,630273.401878901
MS,2029,208731.3252087114,839004.7270876124
MS,2030,209388.26842552662,1048392.9955131391
MS,2031,210290.01655172143,1258683.0120648604
MS,2032,212885.22973847634,1471568.241803337
MS,2033,217437.1102160071,1689005.352019344
MS,2034,221233.09518001814,1910238.447199362
MS,2035,225963.09966155357,2136201.5468609156
MS,2036,231112.71754054923,2367314.2644014647
MS,2037,232761.93494806503,2600076.1993495296
MS,2038,233530.01115635663,2833606.210505886
MS,2039,233878.7501400964,3067484.9606459825
MS,2040,233168.9178536657,3300653.878499648
