city,year,transport_old_mt_co2,transport_new_mt_co2,delta_mt_co2,pct_change
Atlanta,2030,1455393.219742279,1309740.2270807533,-145652.99266152573,-10.007810307603188
Atlanta,2031,1408367.275946535,1262483.1588155944,-145884.11713094055,-10.358385885733876
Atlanta,2032,1355844.0604569844,1218259.1578605284,-137584.902596456,-10.147546211920808
Atlanta,2033,1339843.91634235,1176325.20761999,-163518.70872235997,-12.204310272852597
Atlanta,2034,1290575.3868787491,1136658.2255889736,-153917.1612897755,-11.926243352743885
Atlanta,2035,1250086.09034508,1099166.5988084455,-150919.4915366345,-12.072727846685657
Atlanta,2036,1212714.8061151672,1063869.8464794026,-148844.9596357646,-12.273698555110188
Atlanta,2037,1178157.3424067858,1030541.0504575561,-147616.29194922966,-12.529420870702493
Atlanta,2038,1146626.0536880577,999232.8071354397,-147393.246552618,-12.854517484452405
Atlanta,2039,1116665.3132764357,970227.9452279233,-146437.36804851238,-13.113810047421175
Atlanta,2040,1090463.9103799688,944107.0368056336,-146356.87357433524,-13.421523828637083
Atlanta,2041,1057216.6299704844,921531.1434642745,-135685.48650620994,-12.834217951149524
Atlanta,2042,1035772.663365919,899638.1860140781,-136134.47735184093,-13.14327768696355
Atlanta,2043,1015569.9412189332,878880.1997197852,-136689.74149914796,-13.45941189782426
Atlanta,2044,1003134.6174814224,862681.8981903559,-140452.71929106652,-14.00138294934953
Atlanta,2045,989780.7733605944,848575.7759881979,-141204.99737239652,-14.266290189994738
Atlanta,2046,980367.8679640512,836558.4690457484,-143809.39891830285,-14.668922107469168
Atlanta,2047,970492.093678452,825082.373449516,-145409.72022893594,-14.983091688855508
Atlanta,2048,968065.7802681644,818091.3733762084,-149974.406891956,-15.49217108473884
Atlanta,2049,972433.9222240328,816044.1378589536,-156389.78436507925,-16.082304492978146
Atlanta,2050,979497.367861704,816177.3162788259,-163320.0515828781,-16.673863242676664
Birmingham,2027,1603108.6910768675,798774.886106255,-804333.8049706125,-50.1733793502368
Birmingham,2028,1539102.1430715837,762638.8754997954,-776463.2675717883,-50.449105737855824
Birmingham,2029,1506549.9665316714,733229.2372231574,-773320.7293085139,-51.330572930735705
Birmingham,2030,1455393.219742279,705219.4987613403,-750173.7209809388,-51.54440125217702
Birmingham,2031,1408367.275946535,678319.427472954,-730047.8484735809,-51.83646772699476
Birmingham,2032,1355844.0604569844,654222.7551920159,-701621.3052649685,-51.74793515918701
Birmingham,2033,1339843.91634235,630387.2672609639,-709456.649081386,-52.950693765743786
Birmingham,2034,1290575.3868787491,607464.621432259,-683110.7654464901,-52.93071388092954
Birmingham,2035,1250086.09034508,585726.3184908376,-664359.7718542424,-53.14512152285842
Birmingham,2036,1212714.8061151672,565179.7161170028,-647535.0899981644,-53.39549634695153
Birmingham,2037,1178157.3424067858,545717.6363905059,-632439.7060162799,-53.680411202489076
Birmingham,2038,1146626.0536880577,527232.5794596325,-619393.4742284252,-54.01878600579336
Birmingham,2039,1116665.3132764357,509854.8592379121,-606810.4540385236,-54.34130055119791
Birmingham,2040,1090463.9103799688,493705.7243581616,-596758.1860218071,-54.72516608219236
Birmingham,2041,1057216.6299704844,478860.74855842546,-578355.881412059,-54.70552250282004
Birmingham,2042,1035772.663365919,464777.2469088838,-570995.4164570352,-55.12748469355127
Birmingham,2043,1015569.9412189332,451542.07476453367,-564027.8664543995,-55.53806228032189
Birmingham,2044,1003134.6174814224,439709.2567186269,-563425.3607627954,-56.16647565980642
Birmingham,2045,989780.7733605944,428728.0120165016,-561052.7613440928,-56.68454838126983
Birmingham,2046,980367.8679640512,418670.308498479,-561697.5594655722,-57.29457051994782
Birmingham,2047,970492.093678452,409203.8144263564,-561288.2792520956,-57.835430387139695
Birmingham,2048,968065.7802681644,400983.1892884506,-567082.5909797137,-58.57893157039658
