city,state,region,year,v1_excel_mt_co2,v2_city_specific_mt_co2,v3_mpg_split_mt_co2,v2_v1_delta,v2_v1_pct,v3_v1_delta,v3_v1_pct,v3_v2_delta,v3_v2_pct,v2_gasoline,v2_diesel,v2_ethanol,v2_electricity,v3_gasoline,v3_diesel,v3_ethanol,v3_electricity
Akron,Ohio,PJMW,2037,1178157.3424067858,331072.0793831305,379862.36866019253,-847085.2630236554,-71.89916257646848,-798294.9737465933,-67.7579254495673,48790.28927706205,14.737059485043403,290392.2767230076,16448.705526303427,20389.47319295296,3841.623940866423,343888.5559203591,13199.58106307193,17760.16019502219,5014.071481739324
Akron,Ohio,PJMW,2038,1146626.0536880577,320477.7182575514,368746.16996444704,-826148.3354305064,-72.05037185168148,-777879.8837236107,-67.8407647568799,48268.45170689566,15.06140644327254,281356.08756013046,16531.821857792886,18915.22613780038,3674.5827018276063,334063.68934315216,13414.736179201953,16469.47697936946,4798.267462723429
Akron,Ohio,PJMW,2039,1116665.3132764357,311029.6848865947,358709.20230875636,-805635.628389841,-72.14656162516638,-757956.1109676794,-67.87674891984791,47679.51742216165,15.329571336429252,272876.73903619184,16637.670903685423,17547.101907890752,3968.1730388266947,324551.45364521205,13696.315915248093,15282.180711803154,5179.252036493097
Akron,Ohio,PJMW,2040,1090463.9103799688,302808.3002717869,350296.8613610478,-787655.6101081818,-72.23124053997584,-740167.0490189211,-67.87634528510092,47488.56108926085,15.682714458829988,264999.13265099266,16770.452969428057,16277.359522289817,4761.355129076402,315850.1420944596,14056.941379470438,14177.952388585038,6211.825498532693
Akron,Ohio,PJMW,2041,1057216.6299704844,295453.1542563434,339172.4648766196,-761763.475714141,-72.05367888844201,-718044.1650938648,-67.91835700824261,43719.3106202762,14.797374808983799,257720.76067383547,16927.529774785377,15099.525656126472,5705.338151596013,304018.05842934357,14502.632647883967,13143.73106937711,7508.04273001497
Akron,Ohio,PJMW,2042,1035772.663365919,288884.9816276787,332774.0378445763,-746887.6817382404,-72.10922899925764,-702998.6255213427,-67.87190378599387,43889.05621689762,15.192571095115909,250979.0106595076,17107.40220963469,14006.94062585221,6791.628132684219,296615.5613494057,15044.2111427709,12189.481581503804,8924.783770895912
Akron,Ohio,PJMW,2043,1015569.9412189332,283281.0686234454,327521.93304353976,-732288.8725954879,-72.1061979952421,-688048.0081753935,-67.74993826122571,44240.86442009435,15.61730356182115,244814.61796978876,17311.523417016677,12993.35858482513,8161.5686518148495,289802.4246033118,15695.641670439738,11306.36466754646,10717.502102241713
Akron,Ohio,PJMW,2044,1003134.6174814224,278411.0313526462,323795.8830958345,-724723.5861287762,-72.2458953663014,-679338.7343855879,-67.72159215192958,45384.85174318834,16.301384152304703,239281.1861254615,17542.61863447354,12052.909834544414,9534.316758166698,284314.25776962715,16474.225647542127,10464.135715517245,12543.263963147969
Akron,Ohio,PJMW,2045,989780.7733605944,273906.3486788925,319463.1534308257,-715874.4246817019,-72.32656401791878,-670317.6199297687,-67.7238473378145,45556.8047519332,16.632255868351788,234218.72149591448,17794.36930858928,11180.46755789364,10712.790316495038,278275.75170264306,17389.544977877158,9711.747178530823,14086.109571774583
Akron,Ohio,PJMW,2046,980367.8679640512,270904.79233706335,317428.485564571,-709463.0756269878,-72.36702658363778,-662939.3823994802,-67.62149230535464,46523.69322750764,17.173447847176597,229773.63915809593,18073.189818239553,10371.332926944888,12686.630433782975,273274.25722514954,18464.04635647765,9004.124038070724,16686.05794487304
Akron,Ohio,PJMW,2047,970492.093678452,265895.6947561272,312445.02088221785,-704596.3989223248,-72.6019720832239,-658047.0727962342,-67.80550579263776,46549.32612609066,17.506611443552902,225844.62954106482,18377.467411746333,9621.778996569425,12051.818806746645,268524.5858491707,19723.079202513847,8358.40060382535,15838.955226707976
Akron,Ohio,PJMW,2048,968065.7802681644,263344.9961140281,311174.3469986119,-704720.7841541362,-72.7967870074822,-656891.4332695524,-67.85607410764861,47829.35088458378,18.162240251519236,222538.06794662963,18710.620711170504,8926.88228527463,13169.425170953322,264919.2197471429,21199.689112686392,7755.052184224024,17300.385954558533
Akron,Ohio,PJMW,2049,972433.9222240328,261946.76752451767,311561.48077992495,-710487.1546995151,-73.06276945528342,-660872.4414441078,-67.96065278478157,49614.71325540729,18.940761790757147,219854.07722723624,19072.81088669561,8280.682283205972,14739.197127379863,262088.3889252642,22924.42986380076,7192.830154613075,19355.8318362469
Akron,Ohio,PJMW,2050,979497.367861704,261895.9599402542,313659.57634690567,-717601.4079214497,-73.262208911088,-665837.7915147983,-67.97749676125811,51763.616406651476,19.76495415143487,217791.17787751765,19463.8867151172,7678.28410504375,16962.6112425756,259805.47999202608,24924.836814058508,6670.6023828144625,22258.657158006634
Atlanta,Georgia,SRSE,2027,1603108.6910768675,1475530.0653015503,1626675.307017333,-127578.6257753172,-7.958201866500886,23566.615940465592,1.4700572750706642,151145.2417157828,10.243453879395783,1285744.302500628,55991.061293929524,123917.73853065405,9876.962976338746,1458616.6587121903,46670.97256331763,108382.50060442249,13005.175137402459
Atlanta,Georgia,SRSE,2028,1539102.1430715837,1411223.7216499213,1559935.4391893155,-127878.42142166244,-8.308637733844986,20833.296117731836,1.353600617835205,148711.71753939427,10.537784708262212,1229688.9546600601,55822.20841408426,114954.06755741496,10758.491018361878,1399232.2477049027,46229.32779857768,100277.05003587446,14196.813649960797
